code,name,numeric,status,description
1A,"Drum, steel",34.0,,
1B,"Drum, aluminium",34.0,,
1D,"Drum, plywood",34.0,,
1F,"Container, flexible",93.0,,A packaging container of flexible construction.
1G,"Drum, fibre",34.0,,
1W,"Drum, wooden",34 or 35,,
2C,"Barrel, wooden",44 or 45,,
3A,"Jerrican, steel",23 or 33,,
3H,"Jerrican, plastic",23 or 33,,
43.0,"Bag, super bulk",64.0,,A cloth plastic or paper based bag having the dimensions of the pallet on which it is constructed.
44.0,"Bag, polybag",62 or 63,,"A type of plastic bag, typically used to wrap promotional pieces, publications, product samples, and/or catalogues."
4A,"Box, steel",21 to 25,,
4B,"Box, aluminium",21 to 25,,
4C,"Box, natural wood",21 to 25,,
4D,"Box, plywood",21 to 25,,
4F,"Box, reconstituted wood",21 to 25,,
4G,"Box, fibreboard",21 to 25,,
4H,"Box, plastic",21 to 25,,
5H,"Bag, woven plastic",62 to 64,,
5L,"Bag, textile",62 to 64,,
5M,"Bag, paper",62 to 64,,
6H,"Composite packaging, plastic receptacle","24 or 25 or
33 or 34",,
6P,"Composite packaging, glass receptacle","23 or 24 or 25 or
33 or 34 or 62 or
63",,
7A,"Case, car",22 or 23,,A type of portable container designed to store equipment for carriage in an automobile.
7B,"Case, wooden",24 or 25,,A case made of wood for retaining substances or articles.
8A,"Pallet, wooden",24 or 25,,"A platform or open-ended box, made of wood, on which goods are retained for ease of mechanical handling during transport and storage."
8B,"Crate, wooden",23 to 27,,"A receptacle, made of wood, on which goods are retained for ease of mechanical handling during transport and storage."
8C,"Bundle, wooden",16.0,,Loose or unpacked pieces of wood tied or wrapped together.
AA,"Intermediate bulk container, rigid plastic",23 to 26,,
AB,"Receptacle, fibre","21 to 23 or
31 to 33 or
41 to 43",,Containment vessel made of fibre used for retaining substances or articles.
AC,"Receptacle, paper","21 to 23 or
31 to 33 or
41 to 43",,Containment vessel made of paper for retaining substances or articles.
AD,"Receptacle, wooden","21 to 23 or
31 to 33 or
41 to 43",,Containment vessel made of wood for retaining substances or articles.
AE,Aerosol,42 or 43,,
AF,"Pallet, modular, collars 80cms * 60cms",92.0,,Standard sized pallet of dimensions 80 centimeters by 60 centimeters (cms).
AG,"Pallet, shrinkwrapped",92.0,,Pallet load secured with transparent plastic film that has been wrapped around and then shrunk tightly.
AH,"Pallet, 100cms * 110cms",92.0,,Standard sized pallet of dimensions 100centimeters by 110 centimeters (cms).
AI,Clamshell,21 to 23,,
AJ,Cone,51.0,,Container used in the transport of linear material such as yarn.
AL,Ball,46.0,,A spherical containment vessel for retaining substances or articles.
AM,"Ampoule, non-protected",31.0,,
AP,"Ampoule, protected",31.0,,
AT,Atomizer,42 or 43,,
AV,Capsule,92.0,,
B4,Belt,93.0,,A band use to retain multiple articles together.
BA,Barrel,44 or 45,,
BB,Bobbin,91.0,,
BC,Bottlecrate / bottlerack,29.0,,
BD,Board,16.0,,
BE,Bundle,61 to 65,,
BF,"Balloon, non-protected",42 or 43,,
BG,Bag,62 to 64,,A receptacle made of flexible material with an open or closed top.
BH,Bunch,61 to 65,,
BI,Bin,21 or 25,,
BJ,Bucket,51.0,,
BK,Basket,27.0,,
BL,"Bale, compressed",65.0,,
BM,Basin,51.0,,
BN,"Bale, non-compressed",65.0,,
BO,"Bottle, non-protected, cylindrical",32 or 33,,A narrow-necked cylindrical shaped vessel without external protective packing material.
BP,"Balloon, protected",42 or 43,,
BQ,"Bottle, protected cylindrical",32 or 33,,A narrow-necked cylindrical shaped vessel with external protective packing material.
BR,Bar,16.0,,
BS,"Bottle, non-protected, bulbous",42 or 43,,A narrow-necked bulb shaped vessel without external protective packing material.
BT,Bolt,13.0,,
BU,Butt,44 or 45,,
BV,"Bottle, protected bulbous",42 or 43,,A narrow-necked bulb shaped vessel with external protective packing material.
BW,"Box, for liquids",21 to 25,,
BX,Box,21 to 25,,
BY,"Board, in bundle/bunch/truss",16.0,,
BZ,"Bars, in bundle/bunch/truss",16.0,,
CA,"Can, rectangular",22.0,,
CB,"Crate, beer",23 to 27,,
CC,Churn,32 or 33,,
CD,"Can, with handle and spout",22.0,,
CE,Creel,27.0,,
CF,Coffer,24.0,,
CG,Cage,26.0,,
CH,Chest,25.0,,
CI,Canister,21 or 22,,
CJ,Coffin,54.0,,
CK,Cask,44 or 45,,
CL,Coil,14.0,,
CM,Card,67.0,,A flat package usually made of fibreboard from/to which product is often hung or attached.
CN,"Container, not otherwise specified as transport equipment",25.0,,
CO,"Carboy, non-protected",43.0,,
CP,"Carboy, protected",43.0,,
CQ,Cartridge,92.0,,Package containing a charge such as propelling explosive for firearms or ink toner for a printer.
CR,Crate,24 to 25,,
CS,Case,21 to 25,,
CT,Carton,22 to 24,,
CU,Cup,51.0,,
CV,Cover,67.0,,
CW,"Cage, roll",26.0,,
CX,"Can, cylindrical",32.0,,
CY,Cylinder,12.0,,
CZ,Canvas,67.0,,
DA,"Crate, multiple layer, plastic",23 to 25 or 27,,
DB,"Crate, multiple layer, wooden",23 to 25 or 27,,
DC,"Crate, multiple layer, cardboard",23 to 25 or 27,,
DG,"Cage, Commonwealth Handling Equipment Pool  (CHEP)",26.0,,
DH,"Box, Commonwealth Handling Equipment Pool (CHEP), Eurobox",27.0,,A box mounted on a pallet base under the control of CHEP.
DI,"Drum, iron",34.0,,
DJ,"Demijohn, non-protected",43.0,,
DK,"Crate, bulk, cardboard",23 to 25 or 27,,
DL,"Crate, bulk, plastic",23 to 25 or 27,,
DM,"Crate, bulk, wooden",23 to 25 or 27,,
DN,Dispenser,93.0,,
DP,"Demijohn, protected",43.0,,
DR,Drum,34.0,,
DS,"Tray, one layer no cover, plastic",27.0,,
DT,"Tray, one layer no cover, wooden",27.0,,
DU,"Tray, one layer no cover, polystyrene",27.0,,
DV,"Tray, one layer no cover, cardboard",27.0,,
DW,"Tray, two layers no cover, plastic tray",27 or 29,,
DX,"Tray, two layers no cover, wooden",27 or 29,,
DY,"Tray, two layers no cover, cardboard",27 or 29,,
EC,"Bag, plastic",62 to 64,,
ED,"Case, with pallet base",23 to 25,,
EE,"Case, with pallet base, wooden",23 to 25,,
EF,"Case, with pallet base, cardboard",23 to 25,,
EG,"Case, with pallet base, plastic",23 to 25,,
EH,"Case, with pallet base, metal",23 to 25,,
EI,"Case, isothermic",22 to 25,,
EN,Envelope,67.0,,
FB,Flexibag,65.0,,"A flexible containment bag made of plastic, typically for the transportation bulk non-hazardous cargoes using standard size shipping containers."
FC,"Crate, fruit",23 to 27,,
FD,"Crate, framed",26.0,,
FE,Flexitank,65.0,,"A flexible containment tank made of plastic, typically for the transportation bulk non-hazardous cargoes using standard size shipping containers."
FI,Firkin,44 or 45,,
FL,Flask,42 or 43,,
FO,Footlocker,23.0,,
FP,Filmpack,67.0,,
FR,Frame,26.0,,
FT,Foodtainer,21 to 23,,
FW,"Cart, flatbed",94.0,,Wheeled flat bedded device on which trays or other regular shaped items are packed for transportation purposes.
FX,"Bag, flexible container",61 to 66,,
GB,"Bottle, gas",31 or 35,,A narrow-necked metal cylinder for retention of liquefied or compressed gas.
GI,Girder,16.0,,
GL,"Container, gallon",32.0,,A container with a capacity of one gallon.
GR,"Receptacle, glass","21 to 23 or
31 to 33 or
41 to 43",,Containment vessel made of glass for retaining substances or articles.
GU,"Tray, containing horizontally stacked flat items",27.0,,Tray containing flat items stacked on top of one another.
GY,"Bag, gunny",63 to 64,,"A sack made of gunny or burlap, used for transporting coarse commodities, such as grains, potatoes, and other agricultural products."
GZ,"Girders, in bundle/bunch/truss",16.0,,
HA,"Basket, with handle, plastic",27.0,,
